,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
0,13.10.2023 ,25.10.2023 ,"R$ 100,98 ","0,75% ","R$ 0,76 "
1,15.09.2023 ,25.09.2023 ,"R$ 104,33 ","0,73% ","R$ 0,76 "
2,15.08.2023 ,25.08.2023 ,"R$ 102,90 ","0,74% ","R$ 0,76 "
3,14.07.2023 ,25.07.2023 ,"R$ 104,00 ","0,73% ","R$ 0,76 "
4,15.06.2023 ,23.06.2023 ,"R$ 101,72 ","0,73% ","R$ 0,74 "
5,15.05.2023 ,25.05.2023 ,"R$ 98,44 ","0,75% ","R$ 0,74 "
6,14.04.2023 ,25.04.2023 ,"R$ 95,00 ","0,78% ","R$ 0,74 "
7,15.03.2023 ,24.03.2023 ,"R$ 95,60 ","0,77% ","R$ 0,74 "
8,15.02.2023 ,24.02.2023 ,"R$ 94,00 ","0,79% ","R$ 0,74 "
9,13.01.2023 ,25.01.2023 ,"R$ 98,52 ","0,75% ","R$ 0,74 "
10,15.12.2022 ,23.12.2022 ,"R$ 95,75 ","0,77% ","R$ 0,74 "
11,14.11.2022 ,25.11.2022 ,"R$ 100,97 ","0,73% ","R$ 0,74 "
12,14.10.2022 ,25.10.2022 ,"R$ 102,70 ","0,72% ","R$ 0,74 "
13,15.09.2022 ,23.09.2022 ,"R$ 104,11 ","0,71% ","R$ 0,74 "
14,15.08.2022 ,25.08.2022 ,"R$ 101,80 ","0,73% ","R$ 0,74 "
15,15.07.2022 ,25.07.2022 ,"R$ 97,99 ","0,84% ","R$ 0,82 "
16,15.06.2022 ,24.06.2022 ,"R$ 101,75 ","0,71% ","R$ 0,72 "
17,13.05.2022 ,25.05.2022 ,"R$ 103,49 ","0,70% ","R$ 0,72 "
18,14.04.2022 ,25.04.2022 ,"R$ 103,75 ","0,69% ","R$ 0,72 "
19,15.03.2022 ,22.03.2022 ,"R$ 103,15 ","0,70% ","R$ 0,72 "
20,15.02.2022 ,25.02.2022 ,"R$ 102,36 ","0,70% ","R$ 0,72 "
21,14.01.2022 ,25.01.2022 ,"R$ 105,50 ","0,68% ","R$ 0,72 "
22,15.12.2021 ,23.12.2021 ,"R$ 103,73 ","0,69% ","R$ 0,72 "
23,12.11.2021 ,25.11.2021 ,"R$ 103,00 ","0,70% ","R$ 0,72 "
24,15.10.2021 ,25.10.2021 ,"R$ 107,90 ","0,67% ","R$ 0,72 "
25,15.09.2021 ,24.09.2021 ,"R$ 105,47 ","0,68% ","R$ 0,72 "
26,06.08.2021 ,13.08.2021 ,"R$ 110,36 ","0,67% ","R$ 0,74 "
27,15.07.2021 ,23.07.2021 ,"R$ 114,35 ","0,61% ","R$ 0,70 "
28,15.06.2021 ,25.06.2021 ,"R$ 113,04 ","0,62% ","R$ 0,70 "
29,14.05.2021 ,25.05.2021 ,"R$ 113,02 ","0,62% ","R$ 0,70 "
30,15.04.2021 ,23.04.2021 ,"R$ 112,10 ","0,56% ","R$ 0,63 "
31,15.03.2021 ,22.03.2021 ,"R$ 113,95 ","0,53% ","R$ 0,60 "
32,12.02.2021 ,25.02.2021 ,"R$ 118,23 ","0,51% ","R$ 0,60 "
33,15.01.2021 ,22.01.2021 ,"R$ 110,20 ","0,54% ","R$ 0,60 "
34,04.12.2020 ,11.12.2020 ,"R$ 106,00 ","0,57% ","R$ 0,60 "
35,13.11.2020 ,25.11.2020 ,"R$ 112,94 ","0,53% ","R$ 0,60 "
36,15.10.2020 ,23.10.2020 ,"R$ 104,79 ","0,57% ","R$ 0,60 "
37,15.09.2020 ,25.09.2020 ,"R$ 105,70 ","0,31% ","R$ 0,33 "
38,14.08.2020 ,25.08.2020 ,"R$ 109,82 ","0,46% ","R$ 0,50 "
39,15.07.2020 ,24.07.2020 ,"R$ 104,70 ","0,48% ","R$ 0,50 "
40,15.06.2020 ,25.06.2020 ,"R$ 104,97 ","0,48% ","R$ 0,50 "
41,15.05.2020 ,25.05.2020 ,"R$ 92,87 ","0,54% ","R$ 0,50 "
42,15.04.2020 ,24.04.2020 ,"R$ 92,26 ","0,54% ","R$ 0,50 "
43,13.03.2020 ,25.03.2020 ,"R$ 98,50 ","0,61% ","R$ 0,60 "
44,14.02.2020 ,21.02.2020 ,"R$ 108,96 ","0,55% ","R$ 0,60 "
45,15.01.2020 ,24.01.2020 ,"R$ 126,90 ","0,58% ","R$ 0,74 "
46,13.12.2019 ,23.12.2019 ,"R$ 110,90 ","0,36% ","R$ 0,40 "
47,14.11.2019 ,25.11.2019 ,"R$ 105,99 ","0,38% ","R$ 0,40 "
