,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
0,31.10.2023 ,16.11.2023 ,"R$ 158,00 ","0,70% ","R$ 1,10 "
1,29.09.2023 ,16.10.2023 ,"R$ 161,48 ","0,68% ","R$ 1,10 "
2,31.08.2023 ,15.09.2023 ,"R$ 162,22 ","0,68% ","R$ 1,10 "
3,31.07.2023 ,14.08.2023 ,"R$ 163,25 ","0,67% ","R$ 1,10 "
4,30.06.2023 ,14.07.2023 ,"R$ 167,23 ","0,90% ","R$ 1,50 "
5,31.05.2023 ,15.06.2023 ,"R$ 159,11 ","0,69% ","R$ 1,10 "
6,28.04.2023 ,15.05.2023 ,"R$ 162,50 ","0,68% ","R$ 1,10 "
7,31.03.2023 ,17.04.2023 ,"R$ 160,47 ","0,69% ","R$ 1,10 "
8,28.02.2023 ,14.03.2023 ,"R$ 161,65 ","0,68% ","R$ 1,10 "
9,31.01.2023 ,14.02.2023 ,"R$ 162,26 ","0,68% ","R$ 1,10 "
10,29.12.2022 ,13.01.2023 ,"R$ 164,50 ","1,34% ","R$ 2,20 "
11,30.11.2022 ,14.12.2022 ,"R$ 164,81 ","0,67% ","R$ 1,10 "
12,31.10.2022 ,16.11.2022 ,"R$ 165,39 ","0,67% ","R$ 1,10 "
13,30.09.2022 ,17.10.2022 ,"R$ 171,50 ","0,64% ","R$ 1,10 "
14,31.08.2022 ,15.09.2022 ,"R$ 172,49 ","0,64% ","R$ 1,10 "
15,29.07.2022 ,12.08.2022 ,"R$ 168,64 ","0,65% ","R$ 1,10 "
16,30.06.2022 ,14.07.2022 ,"R$ 164,42 ","2,01% ","R$ 3,30 "
17,31.05.2022 ,14.06.2022 ,"R$ 165,10 ","0,67% ","R$ 1,10 "
18,29.04.2022 ,13.05.2022 ,"R$ 164,02 ","0,67% ","R$ 1,10 "
19,31.03.2022 ,14.04.2022 ,"R$ 163,50 ","0,67% ","R$ 1,10 "
20,25.02.2022 ,15.03.2022 ,"R$ 167,00 ","0,66% ","R$ 1,10 "
21,31.01.2022 ,14.02.2022 ,"R$ 170,55 ","0,64% ","R$ 1,10 "
22,30.12.2021 ,14.01.2022 ,"R$ 170,56 ","1,03% ","R$ 1,75 "
23,30.11.2021 ,14.12.2021 ,"R$ 160,00 ","0,69% ","R$ 1,10 "
24,29.10.2021 ,16.11.2021 ,"R$ 167,00 ","0,66% ","R$ 1,10 "
25,30.09.2021 ,15.10.2021 ,"R$ 165,00 ","0,67% ","R$ 1,10 "
26,31.08.2021 ,15.09.2021 ,"R$ 162,81 ","0,68% ","R$ 1,10 "
27,30.07.2021 ,13.08.2021 ,"R$ 168,97 ","0,65% ","R$ 1,10 "
28,30.06.2021 ,15.07.2021 ,"R$ 168,60 ","1,30% ","R$ 2,20 "
29,31.05.2021 ,15.06.2021 ,"R$ 169,54 ","0,59% ","R$ 1,00 "
