,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
0,31.10.2023 ,16.11.2023 ,"R$ 116,32 ","0,73% ","R$ 0,85 "
1,29.09.2023 ,16.10.2023 ,"R$ 117,69 ","0,72% ","R$ 0,85 "
2,31.08.2023 ,15.09.2023 ,"R$ 117,31 ","0,72% ","R$ 0,85 "
3,31.07.2023 ,14.08.2023 ,"R$ 115,50 ","0,69% ","R$ 0,80 "
4,30.06.2023 ,14.07.2023 ,"R$ 117,48 ","0,68% ","R$ 0,80 "
5,31.05.2023 ,15.06.2023 ,"R$ 109,50 ","0,71% ","R$ 0,78 "
6,28.04.2023 ,15.05.2023 ,"R$ 104,32 ","0,75% ","R$ 0,78 "
7,31.03.2023 ,17.04.2023 ,"R$ 99,00 ","0,79% ","R$ 0,78 "
8,28.02.2023 ,14.03.2023 ,"R$ 98,19 ","0,79% ","R$ 0,78 "
9,31.01.2023 ,14.02.2023 ,"R$ 103,02 ","0,76% ","R$ 0,78 "
10,29.12.2022 ,13.01.2023 ,"R$ 103,50 ","0,75% ","R$ 0,78 "
11,30.11.2022 ,14.12.2022 ,"R$ 106,59 ","0,73% ","R$ 0,78 "
12,31.10.2022 ,16.11.2022 ,"R$ 110,29 ","0,71% ","R$ 0,78 "
13,30.09.2022 ,17.10.2022 ,"R$ 109,41 ","0,73% ","R$ 0,80 "
14,31.08.2022 ,15.09.2022 ,"R$ 109,20 ","0,71% ","R$ 0,77 "
15,29.07.2022 ,12.08.2022 ,"R$ 101,25 ","0,74% ","R$ 0,75 "
16,30.06.2022 ,14.07.2022 ,"R$ 101,34 ","0,71% ","R$ 0,72 "
17,31.05.2022 ,14.06.2022 ,"R$ 101,24 ","0,71% ","R$ 0,72 "
18,29.04.2022 ,13.05.2022 ,"R$ 102,05 ","0,71% ","R$ 0,72 "
19,31.03.2022 ,14.04.2022 ,"R$ 101,40 ","0,71% ","R$ 0,72 "
20,25.02.2022 ,15.03.2022 ,"R$ 98,99 ","0,73% ","R$ 0,72 "
21,31.01.2022 ,14.02.2022 ,"R$ 98,25 ","0,73% ","R$ 0,72 "
22,30.12.2021 ,14.01.2022 ,"R$ 95,66 ","0,68% ","R$ 0,65 "
23,30.11.2021 ,14.12.2021 ,"R$ 83,01 ","0,75% ","R$ 0,62 "
24,29.10.2021 ,16.11.2021 ,"R$ 90,88 ","0,66% ","R$ 0,60 "
25,30.09.2021 ,15.10.2021 ,"R$ 93,35 ","0,61% ","R$ 0,57 "
26,31.08.2021 ,15.09.2021 ,"R$ 96,49 ","0,57% ","R$ 0,55 "
27,30.07.2021 ,13.08.2021 ,"R$ 98,33 ","0,54% ","R$ 0,53 "
28,30.06.2021 ,15.07.2021 ,"R$ 94,76 ","0,53% ","R$ 0,50 "
29,31.05.2021 ,15.06.2021 ,"R$ 96,40 ","0,47% ","R$ 0,45 "
30,30.04.2021 ,14.05.2021 ,"R$ 99,32 ","0,40% ","R$ 0,40 "
31,31.03.2021 ,15.04.2021 ,"R$ 94,54 ","0,48% ","R$ 0,45 "
32,26.02.2021 ,12.03.2021 ,"R$ 99,63 ","0,60% ","R$ 0,60 "
33,29.01.2021 ,12.02.2021 ,"R$ 104,70 ","0,59% ","R$ 0,62 "
34,30.12.2020 ,15.01.2021 ,"R$ 104,68 ","0,59% ","R$ 0,62 "
35,30.11.2020 ,14.12.2020 ,"R$ 95,39 ","0,61% ","R$ 0,58 "
36,30.10.2020 ,16.11.2020 ,"R$ 88,14 ","0,54% ","R$ 0,48 "
37,30.09.2020 ,15.10.2020 ,"R$ 91,37 ","0,38% ","R$ 0,35 "
38,31.08.2020 ,15.09.2020 ,"R$ 91,38 ","0,33% ","R$ 0,30 "
39,31.07.2020 ,14.08.2020 ,"R$ 84,95 ","0,18% ","R$ 0,15 "
40,30.06.2020 ,14.07.2020 ,"R$ 86,41 ","0,16% ","R$ 0,14 "
41,29.05.2020 ,12.06.2020 ,"R$ 81,84 ","0,13% ","R$ 0,11 "
42,30.04.2020 ,15.05.2020 ,"R$ 84,43 ","0,14% ","R$ 0,12 "
43,31.03.2020 ,15.04.2020 ,"R$ 81,42 ","0,49% ","R$ 0,40 "
44,28.02.2020 ,13.03.2020 ,"R$ 113,23 ","0,44% ","R$ 0,50 "
45,31.01.2020 ,14.02.2020 ,"R$ 117,35 ","0,69% ","R$ 0,81 "
46,30.12.2019 ,15.01.2020 ,"R$ 125,05 ","0,29% ","R$ 0,36 "
47,29.11.2019 ,13.12.2019 ,"R$ 107,06 ","0,32% ","R$ 0,34 "
48,31.10.2019 ,14.11.2019 ,"R$ 101,93 ","0,42% ","R$ 0,43 "
49,30.09.2019 ,14.10.2019 ,"R$ 104,78 ","0,53% ","R$ 0,56 "
50,30.08.2019 ,13.09.2019 ,"R$ 102,30 ","0,60% ","R$ 0,61 "
51,31.07.2019 ,14.08.2019 ,"R$ 108,26 ","0,55% ","R$ 0,60 "
52,28.06.2019 ,15.07.2019 ,"R$ 102,21 ","0,59% ","R$ 0,60 "
53,31.05.2019 ,14.06.2019 ,"R$ 102,28 ","0,59% ","R$ 0,60 "
54,30.04.2019 ,15.05.2019 ,"R$ 108,65 ","0,55% ","R$ 0,60 "
55,29.03.2019 ,12.04.2019 ,"R$ 107,42 ","0,56% ","R$ 0,60 "
56,28.02.2019 ,18.03.2019 ,"R$ 106,06 ","0,57% ","R$ 0,60 "
57,31.01.2019 ,14.02.2019 ,"R$ 106,33 ","0,70% ","R$ 0,74 "
58,28.12.2018 ,15.01.2019 ,"R$ 106,95 ","0,60% ","R$ 0,64 "
59,30.11.2018 ,14.12.2018 ,"R$ 101,31 ","0,63% ","R$ 0,64 "
60,31.10.2018 ,16.11.2018 ,"R$ 99,09 ","0,63% ","R$ 0,62 "
61,28.09.2018 ,15.10.2018 ,"R$ 98,32 ","0,63% ","R$ 0,62 "
62,31.08.2018 ,17.09.2018 ,"R$ 98,43 ","0,63% ","R$ 0,62 "
63,31.07.2018 ,14.08.2018 ,"R$ 98,88 ","0,63% ","R$ 0,62 "
64,29.06.2018 ,13.07.2018 ,"R$ 99,33 ","0,62% ","R$ 0,62 "
65,30.05.2018 ,14.06.2018 ,"R$ 99,42 ","0,62% ","R$ 0,62 "
66,30.04.2018 ,15.05.2018 ,"R$ 105,30 ","0,58% ","R$ 0,61 "
67,29.03.2018 ,13.04.2018 ,"R$ 102,95 ","0,65% ","R$ 0,67 "
68,28.02.2018 ,14.03.2018 ,"R$ 103,20 ","0,48% ","R$ 0,50 "
69,31.01.2018 ,16.02.2018 ,"R$ 103,10 ","0,47% ","R$ 0,48 "
