,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
0,31.10.2023 ,16.11.2023 ,"R$ 10,81 ","1,02% ","R$ 0,11 "
1,29.09.2023 ,16.10.2023 ,"R$ 11,07 ","0,99% ","R$ 0,11 "
2,31.08.2023 ,15.09.2023 ,"R$ 10,97 ","1,00% ","R$ 0,11 "
3,31.07.2023 ,14.08.2023 ,"R$ 10,72 ","1,12% ","R$ 0,12 "
4,30.06.2023 ,14.07.2023 ,"R$ 10,90 ","1,10% ","R$ 0,12 "
5,31.05.2023 ,15.06.2023 ,"R$ 10,71 ","1,12% ","R$ 0,12 "
6,28.04.2023 ,15.05.2023 ,"R$ 10,57 ","1,14% ","R$ 0,12 "
7,31.03.2023 ,17.04.2023 ,"R$ 10,38 ","1,16% ","R$ 0,12 "
8,28.02.2023 ,14.03.2023 ,"R$ 10,23 ","1,17% ","R$ 0,12 "
9,31.01.2023 ,14.02.2023 ,"R$ 10,15 ","1,08% ","R$ 0,11 "
10,29.12.2022 ,13.01.2023 ,"R$ 10,09 ","0,99% ","R$ 0,10 "
11,30.11.2022 ,14.12.2022 ,"R$ 10,19 ","0,79% ","R$ 0,08 "
12,31.10.2022 ,16.11.2022 ,"R$ 10,30 ","0,97% ","R$ 0,10 "
13,30.09.2022 ,17.10.2022 ,"R$ 10,30 ","0,97% ","R$ 0,10 "
14,30.09.2022 ,07.10.2022 ,"R$ 10,30 ","0,97% ","R$ 0,10 "
15,31.08.2022 ,15.09.2022 ,"R$ 10,32 ","1,07% ","R$ 0,11 "
16,29.07.2022 ,12.08.2022 ,"R$ 9,84 ","1,22% ","R$ 0,12 "
17,30.06.2022 ,14.07.2022 ,"R$ 9,68 ","1,03% ","R$ 0,10 "
18,31.05.2022 ,14.06.2022 ,"R$ 9,91 ","1,11% ","R$ 0,11 "
19,29.04.2022 ,13.05.2022 ,"R$ 9,95 ","1,11% ","R$ 0,11 "
20,31.03.2022 ,14.04.2022 ,"R$ 9,26 ","1,08% ","R$ 0,10 "
21,25.02.2022 ,15.03.2022 ,"R$ 9,22 ","0,98% ","R$ 0,09 "
22,31.01.2022 ,14.02.2022 ,"R$ 9,33 ","0,96% ","R$ 0,09 "
23,30.12.2021 ,14.01.2022 ,"R$ 10,01 ","0,90% ","R$ 0,09 "
24,30.11.2021 ,14.12.2021 ,"R$ 9,98 ","0,80% ","R$ 0,08 "
25,29.10.2021 ,16.11.2021 ,"R$ 10,03 ","0,90% ","R$ 0,09 "
26,30.09.2021 ,15.10.2021 ,"R$ 10,12 ","0,79% ","R$ 0,08 "
27,31.08.2021 ,15.09.2021 ,"R$ 9,98 ","0,80% ","R$ 0,08 "
28,30.07.2021 ,13.08.2021 ,"R$ 10,23 ","0,68% ","R$ 0,07 "
29,30.06.2021 ,15.07.2021 ,"R$ 10,15 ","0,69% ","R$ 0,07 "
30,31.05.2021 ,15.06.2021 ,"R$ 10,57 ","0,66% ","R$ 0,07 "
31,30.04.2021 ,14.05.2021 ,"R$ 10,66 ","0,75% ","R$ 0,08 "
32,31.03.2021 ,15.04.2021 ,"R$ 10,40 ","0,77% ","R$ 0,08 "
33,26.02.2021 ,12.03.2021 ,"R$ 10,80 ","0,74% ","R$ 0,08 "
34,29.01.2021 ,12.02.2021 ,"R$ 10,62 ","0,75% ","R$ 0,08 "
35,30.12.2020 ,15.01.2021 ,"R$ 10,49 ","0,67% ","R$ 0,07 "
36,30.11.2020 ,14.12.2020 ,"R$ 10,58 ","0,57% ","R$ 0,06 "
37,30.10.2020 ,16.11.2020 ,"R$ 10,41 ","0,58% ","R$ 0,06 "
38,30.09.2020 ,15.10.2020 ,"R$ 10,91 ","0,64% ","R$ 0,07 "
39,31.08.2020 ,15.09.2020 ,"R$ 10,67 ","0,66% ","R$ 0,07 "
40,31.07.2020 ,14.08.2020 ,"R$ 10,95 ","0,64% ","R$ 0,07 "
41,30.06.2020 ,14.07.2020 ,"R$ 10,99 ","0,64% ","R$ 0,07 "
42,29.05.2020 ,15.06.2020 ,"R$ 10,83 ","0,65% ","R$ 0,07 "
43,30.04.2020 ,15.05.2020 ,"R$ 10,13 ","0,69% ","R$ 0,07 "
44,31.03.2020 ,14.04.2020 ,"R$ 10,16 ","0,79% ","R$ 0,08 "
45,28.02.2020 ,06.03.2020 ,"R$ 11,20 ","0,80% ","R$ 0,09 "
46,31.01.2020 ,14.02.2020 ,"R$ 11,68 ","0,68% ","R$ 0,08 "
47,30.12.2019 ,14.01.2020 ,"R$ 14,12 ","0,92% ","R$ 0,13 "
48,29.11.2019 ,12.12.2019 ,"R$ 11,47 ","0,78% ","R$ 0,09 "
49,31.10.2019 ,14.11.2019 ,"R$ 11,20 ","0,80% ","R$ 0,09 "
50,30.09.2019 ,15.10.2019 ,"R$ 11,26 ","0,80% ","R$ 0,09 "
51,30.08.2019 ,12.09.2019 ,"R$ 10,90 ","0,64% ","R$ 0,07 "
52,31.07.2019 ,15.08.2019 ,"R$ 11,96 ","0,59% ","R$ 0,07 "
53,28.06.2019 ,15.07.2019 ,"R$ 11,41 ","0,61% ","R$ 0,07 "
54,13.06.2019 ,14.06.2019 ,"R$ 11,81 ","0,59% ","R$ 0,07 "
55,31.05.2019 ,14.06.2019 ,"R$ 11,68 ","0,60% ","R$ 0,07 "
56,30.04.2019 ,15.05.2019 ,"R$ 11,30 ","0,62% ","R$ 0,07 "
57,29.03.2019 ,15.04.2019 ,"R$ 11,61 ","0,60% ","R$ 0,07 "
58,28.02.2019 ,15.03.2019 ,"R$ 11,12 ","0,63% ","R$ 0,07 "
59,31.01.2019 ,14.02.2019 ,"R$ 11,25 ","0,53% ","R$ 0,06 "
60,28.12.2018 ,15.01.2019 ,"R$ 10,24 ","0,59% ","R$ 0,06 "
61,30.11.2018 ,17.12.2018 ,"R$ 10,18 ","0,59% ","R$ 0,06 "
62,31.10.2018 ,16.11.2018 ,"R$ 10,11 ","0,59% ","R$ 0,06 "
63,28.09.2018 ,15.10.2018 ,"R$ 9,80 ","0,71% ","R$ 0,07 "
64,31.08.2018 ,17.09.2018 ,"R$ 10,17 ","0,69% ","R$ 0,07 "
65,31.07.2018 ,14.08.2018 ,"R$ 10,07 ","0,79% ","R$ 0,08 "
66,29.06.2018 ,13.07.2018 ,"R$ 9,70 ","1,03% ","R$ 0,10 "
67,30.05.2018 ,15.06.2018 ,"R$ 9,70 ","0,82% ","R$ 0,08 "
68,30.04.2018 ,15.05.2018 ,"R$ 10,88 ","0,55% ","R$ 0,06 "
69,29.03.2018 ,16.04.2018 ,"R$ 10,38 ","0,58% ","R$ 0,06 "
70,28.02.2018 ,15.03.2018 ,"R$ 9,58 ","0,73% ","R$ 0,07 "
71,31.01.2018 ,15.02.2018 ,"R$ 9,59 ","0,63% ","R$ 0,06 "
72,28.12.2017 ,15.01.2018 ,"R$ 9,51 ","0,53% ","R$ 0,05 "
73,30.11.2017 ,14.12.2017 ,"R$ 9,78 ","0,61% ","R$ 0,06 "
74,31.10.2017 ,16.11.2017 ,"R$ 9,62 ","0,62% ","R$ 0,06 "
75,29.09.2017 ,16.10.2017 ,"R$ 0,00 ","0,00% ","R$ 0,07 "
76,31.08.2017 ,15.09.2017 ,"R$ 0,00 ","0,00% ","R$ 0,06 "
77,31.07.2017 ,14.08.2017 ,"R$ 0,00 ","0,00% ","R$ 0,07 "
78,30.06.2017 ,14.07.2017 ,"R$ 0,00 ","0,00% ","R$ 0,06 "
79,31.05.2017 ,14.06.2017 ,"R$ 0,00 ","0,00% ","R$ 0,10 "
80,28.04.2017 ,15.05.2017 ,"R$ 0,00 ","0,00% ","R$ 0,10 "
81,31.03.2017 ,17.04.2017 ,"R$ 0,00 ","0,00% ","R$ 0,09 "
82,24.02.2017 ,14.03.2017 ,"R$ 0,00 ","0,00% ","R$ 0,08 "
83,31.01.2017 ,14.02.2017 ,"R$ 0,00 ","0,00% ","R$ 0,08 "
