,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
0,06.10.2023 ,16.10.2023 ,"R$ 53,63 ","0,47% ","R$ 0,25 "
1,08.09.2023 ,15.09.2023 ,"R$ 58,97 ","0,42% ","R$ 0,25 "
2,07.08.2023 ,14.08.2023 ,"R$ 62,20 ","0,43% ","R$ 0,27 "
3,07.07.2023 ,14.07.2023 ,"R$ 63,25 ","0,43% ","R$ 0,27 "
4,07.06.2023 ,15.06.2023 ,"R$ 54,25 ","0,50% ","R$ 0,27 "
5,08.05.2023 ,15.05.2023 ,"R$ 50,29 ","0,54% ","R$ 0,27 "
6,10.04.2023 ,17.04.2023 ,"R$ 44,39 ","0,61% ","R$ 0,27 "
7,07.03.2023 ,14.03.2023 ,"R$ 45,19 ","0,60% ","R$ 0,27 "
8,07.02.2023 ,14.02.2023 ,"R$ 47,21 ","0,57% ","R$ 0,27 "
9,06.01.2023 ,13.01.2023 ,"R$ 48,05 ","0,56% ","R$ 0,27 "
10,07.12.2022 ,14.12.2022 ,"R$ 52,34 ","0,52% ","R$ 0,27 "
11,08.11.2022 ,16.11.2022 ,"R$ 54,78 ","0,51% ","R$ 0,28 "
12,07.10.2022 ,17.10.2022 ,"R$ 60,48 ","0,74% ","R$ 0,45 "
13,08.09.2022 ,15.09.2022 ,"R$ 60,60 ","0,74% ","R$ 0,45 "
14,05.08.2022 ,12.08.2022 ,"R$ 54,64 ","0,82% ","R$ 0,45 "
15,07.07.2022 ,14.07.2022 ,"R$ 57,47 ","0,78% ","R$ 0,45 "
16,07.06.2022 ,14.06.2022 ,"R$ 63,32 ","0,71% ","R$ 0,45 "
17,06.05.2022 ,13.05.2022 ,"R$ 62,81 ","0,72% ","R$ 0,45 "
18,07.04.2022 ,14.04.2022 ,"R$ 64,80 ","0,77% ","R$ 0,50 "
19,08.03.2022 ,15.03.2022 ,"R$ 65,60 ","0,64% ","R$ 0,42 "
20,07.02.2022 ,14.02.2022 ,"R$ 70,22 ","0,66% ","R$ 0,46 "
21,07.01.2022 ,14.01.2022 ,"R$ 71,06 ","0,65% ","R$ 0,46 "
22,07.12.2021 ,14.12.2021 ,"R$ 74,82 ","0,61% ","R$ 0,46 "
23,08.11.2021 ,16.11.2021 ,"R$ 68,60 ","0,67% ","R$ 0,46 "
24,07.10.2021 ,15.10.2021 ,"R$ 74,33 ","0,61% ","R$ 0,45 "
25,08.09.2021 ,15.09.2021 ,"R$ 76,50 ","0,56% ","R$ 0,43 "
26,06.08.2021 ,13.08.2021 ,"R$ 79,80 ","0,53% ","R$ 0,42 "
27,07.07.2021 ,15.07.2021 ,"R$ 80,40 ","0,44% ","R$ 0,35 "
28,08.06.2021 ,15.06.2021 ,"R$ 85,90 ","0,37% ","R$ 0,32 "
29,07.05.2021 ,14.05.2021 ,"R$ 91,00 ","0,33% ","R$ 0,30 "
30,08.04.2021 ,15.04.2021 ,"R$ 91,90 ","0,54% ","R$ 0,50 "
31,05.03.2021 ,12.03.2021 ,"R$ 91,20 ","0,57% ","R$ 0,52 "
32,05.02.2021 ,12.02.2021 ,"R$ 98,19 ","0,53% ","R$ 0,52 "
33,08.01.2021 ,15.01.2021 ,"R$ 93,15 ","0,59% ","R$ 0,55 "
34,07.12.2020 ,14.12.2020 ,"R$ 93,66 ","0,59% ","R$ 0,55 "
35,09.11.2020 ,16.11.2020 ,"R$ 93,49 ","0,62% ","R$ 0,58 "
36,07.10.2020 ,15.10.2020 ,"R$ 94,55 ","0,61% ","R$ 0,58 "
37,08.09.2020 ,15.09.2020 ,"R$ 90,80 ","0,62% ","R$ 0,56 "
38,07.08.2020 ,14.08.2020 ,"R$ 87,25 ","0,61% ","R$ 0,53 "
39,07.07.2020 ,14.07.2020 ,"R$ 91,00 ","0,53% ","R$ 0,48 "
40,05.06.2020 ,15.06.2020 ,"R$ 86,90 ","0,48% ","R$ 0,42 "
41,08.05.2020 ,15.05.2020 ,"R$ 77,35 ","0,52% ","R$ 0,40 "
42,07.04.2020 ,15.04.2020 ,"R$ 76,52 ","0,48% ","R$ 0,37 "
43,06.03.2020 ,13.03.2020 ,"R$ 88,80 ","0,56% ","R$ 0,50 "
44,07.02.2020 ,14.02.2020 ,"R$ 91,23 ","0,55% ","R$ 0,50 "
45,08.01.2020 ,15.01.2020 ,"R$ 102,10 ","0,25% ","R$ 0,26 "
46,06.12.2019 ,13.12.2019 ,"R$ 90,10 ","0,29% ","R$ 0,26 "
47,07.11.2019 ,14.11.2019 ,"R$ 0,00 ","0,00% ","R$ 0,27 "
48,30.09.2019 ,16.10.2019 ,"R$ 0,00 ","0,00% ","R$ 0,33 "
49,30.08.2019 ,20.09.2019 ,"R$ 0,00 ","0,00% ","R$ 0,28 "
50,31.07.2019 ,14.08.2019 ,"R$ 0,00 ","0,00% ","R$ 0,39 "
51,28.06.2019 ,12.07.2019 ,"R$ 86,00 ","0,47% ","R$ 0,41 "
52,31.05.2019 ,14.06.2019 ,"R$ 0,00 ","0,00% ","R$ 0,47 "
53,30.04.2019 ,15.05.2019 ,"R$ 0,00 ","0,00% ","R$ 0,49 "
54,29.03.2019 ,12.04.2019 ,"R$ 0,00 ","0,00% ","R$ 0,48 "
55,28.02.2019 ,15.03.2019 ,"R$ 0,00 ","0,00% ","R$ 0,42 "
56,31.01.2019 ,14.02.2019 ,"R$ 0,00 ","0,00% ","R$ 0,39 "
57,28.12.2018 ,15.01.2019 ,"R$ 0,00 ","0,00% ","R$ 0,50 "
58,30.11.2018 ,14.12.2018 ,"R$ 0,00 ","0,00% ","R$ 0,48 "
59,31.10.2018 ,19.11.2018 ,"R$ 83,99 ","0,56% ","R$ 0,47 "
60,28.09.2018 ,15.10.2018 ,"R$ 0,00 ","0,00% ","R$ 0,48 "
61,31.08.2018 ,17.09.2018 ,"R$ 0,00 ","0,00% ","R$ 1,39 "
