,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
0,13.10.2023 ,25.10.2023 ,"R$ 89,52 ","0,73% ","R$ 0,65 "
1,15.09.2023 ,25.09.2023 ,"R$ 93,55 ","0,69% ","R$ 0,65 "
2,15.08.2023 ,25.08.2023 ,"R$ 90,28 ","0,72% ","R$ 0,65 "
3,14.07.2023 ,25.07.2023 ,"R$ 88,19 ","0,74% ","R$ 0,65 "
4,15.06.2023 ,23.06.2023 ,"R$ 88,00 ","0,74% ","R$ 0,65 "
5,15.05.2023 ,25.05.2023 ,"R$ 86,59 ","0,75% ","R$ 0,65 "
6,14.04.2023 ,25.04.2023 ,"R$ 83,02 ","0,78% ","R$ 0,65 "
7,15.03.2023 ,24.03.2023 ,"R$ 85,94 ","0,76% ","R$ 0,65 "
8,15.02.2023 ,24.02.2023 ,"R$ 87,01 ","0,75% ","R$ 0,65 "
9,13.01.2023 ,25.01.2023 ,"R$ 88,20 ","0,91% ","R$ 0,80 "
10,15.12.2022 ,23.12.2022 ,"R$ 90,00 ","1,44% ","R$ 1,30 "
11,14.11.2022 ,25.11.2022 ,"R$ 88,90 ","0,73% ","R$ 0,65 "
12,14.11.2022 ,24.11.2022 ,"R$ 88,90 ","0,73% ","R$ 0,65 "
13,14.10.2022 ,25.10.2022 ,"R$ 89,30 ","0,73% ","R$ 0,65 "
14,15.09.2022 ,23.09.2022 ,"R$ 90,27 ","0,72% ","R$ 0,65 "
15,15.08.2022 ,25.08.2022 ,"R$ 92,19 ","0,71% ","R$ 0,65 "
16,15.07.2022 ,25.07.2022 ,"R$ 89,15 ","0,73% ","R$ 0,65 "
17,15.06.2022 ,24.06.2022 ,"R$ 86,11 ","1,51% ","R$ 1,30 "
18,13.05.2022 ,25.05.2022 ,"R$ 83,69 ","0,78% ","R$ 0,65 "
19,14.04.2022 ,25.04.2022 ,"R$ 88,98 ","0,73% ","R$ 0,65 "
20,15.03.2022 ,25.03.2022 ,"R$ 82,01 ","0,79% ","R$ 0,65 "
21,15.02.2022 ,25.02.2022 ,"R$ 88,21 ","0,74% ","R$ 0,65 "
22,14.01.2022 ,25.01.2022 ,"R$ 91,78 ","0,71% ","R$ 0,65 "
23,15.12.2021 ,23.12.2021 ,"R$ 90,52 ","0,77% ","R$ 0,70 "
24,12.11.2021 ,25.11.2021 ,"R$ 89,88 ","0,69% ","R$ 0,62 "
25,15.10.2021 ,25.10.2021 ,"R$ 95,89 ","0,73% ","R$ 0,70 "
26,15.09.2021 ,24.09.2021 ,"R$ 94,50 ","0,74% ","R$ 0,70 "
27,13.08.2021 ,25.08.2021 ,"R$ 94,50 ","0,58% ","R$ 0,55 "
28,15.07.2021 ,23.07.2021 ,"R$ 101,00 ","0,41% ","R$ 0,41 "
29,15.06.2021 ,25.06.2021 ,"R$ 103,28 ","0,12% ","R$ 0,12 "
